;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;No_voie;Type_de_voie;Voie;Code_postal;Commune;Code_departement;Surface_reelle_bati;Nombre_pieces_principales
2482887;1;2019-05-02;Vente;620000.0;4.0;RUE;GREGOIRE DE TOURS;75006.0;PARIS 06;75;43.0;2.0
2482888;1;2019-01-31;Vente;909000.0;6.0;RUE;DU GAL CAMOU;75007.0;PARIS 07;75;79.0;3.0
2482890;1;2019-01-18;Vente;37000000.0;12.0;RUE;DES SAINTS PERES;75007.0;PARIS 07;75;87.0;5.0
2482892;1;2019-01-18;Vente;37000000.0;12.0;RUE;DES SAINTS PERES;75007.0;PARIS 07;75;904.0;9.0
2482893;1;2019-01-18;Vente;37000000.0;12.0;RUE;DES SAINTS PERES;75007.0;PARIS 07;75;230.0;5.0
2482895;1;2019-01-31;Vente;6950000.0;30.0;RUE;GUYNEMER;75006.0;PARIS 06;75;247.0;8.0
2482898;1;2019-01-25;Vente;2240000.0;3.0;RUE;DE LILLE;75007.0;PARIS 07;75;146.0;3.0
2482899;1;2019-05-02;Vente;290000.0;3.0;RUE;DES LYONNAIS;75005.0;PARIS 05;75;24.0;2.0
2482900;1;2019-01-31;Vente;221666.66;72.0;RUE;MADAME;75006.0;PARIS 06;75;14.0;1.0
2482902;1;2019-01-21;Vente;210000.0;39.0;AV;DE LA MOTTE PICQUET;75007.0;PARIS 07;75;15.0;1.0
2482903;1;2019-01-02;Vente;450000.0;28.0;RUE;PIERRE LEROUX;75007.0;PARIS 07;75;32.0;2.0
2482908;1;2019-06-02;Vente;615000.0;19.0;RUE;GAY LUSSAC;75005.0;PARIS 05;75;56.0;3.0
2482909;1;2019-04-02;Vente;1470000.0;44.0;RUE;BARBET DE JOUY;75007.0;PARIS 07;75;72.0;3.0
2482910;1;2019-01-31;Vente;250000.0;51.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;20.0;1.0
